District,Category,Capacity,Nbhood,Latitude,Longitude,Care Category,Capacity Category,Bed Capacity,Desired Bed Capacity,Capacity Difference
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00067919,28.87023602,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
AVCILAR,Private Hospital,38.0,MUSTAFA KEMALPAŞA,41.00551935,28.70610613,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00231579,28.86446659,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Emergency Station,3.0,CUMHURİYET,41.02111961,28.85167044,Emergency Care,Emergency Location,,0.0,
BAHÇELİEVLER,Private Hospital,57.0,BAHÇELİEVLER,41.00719175,28.8696689,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99533516,28.84822615,Public Health Care,Low Capacity,6.395012468827931,47.16850446981961,40.77349200099168
KÜÇÜKÇEKMECE,Policlinic,0.0,BEŞYOL,40.99635492,28.79728799,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KÜÇÜKÇEKMECE,Private Hospital,71.0,CENNET,40.98684449,28.78368994,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAŞAKŞEHİR,Clinic,,BAHÇEŞEHİR 1. KISIM,41.06344055,28.68642658,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAŞAKŞEHİR,Clinic,,BAHÇEŞEHİR 2. KISIM,41.06246729,28.68614394,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KADIKÖY,Private Hospital,44.0,HASANPAŞA,40.99615804,29.04527173,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99739549,28.8479197,Public Health Care,Low Capacity,6.395012468827931,12.79002493765586,6.395012468827929
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00074574,28.86191346,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ESENLER,Clinic,,BİRLİK,41.05019846,28.87565341,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
PENDİK,Private Hospital,82.0,FEVZİ ÇAKMAK,40.87937412,29.26146334,Private Health Care,Medium Capacity,59.51555555555555,89.99999999999999,30.484444444444435
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00263166,28.87110712,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99636837,28.8499726,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
PENDİK,Clinic,,DOĞU,40.87847897,29.23573707,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,SİYAVUŞPAŞA,41.00229504,28.85981094,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.000508,28.870808,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00030748,28.8698424,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,KOCASİNAN MERKEZ,41.01476153,28.84183545,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,40.99839173,28.86642259,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ATAŞEHİR,Private Hospital,144.0,KÜÇÜKBAKKALKÖY,40.98453828,29.10706927,Private Health Care,Medium Capacity,59.51555555555555,3.45,-56.06555555555555
ÜMRANİYE,Private Hospital,49.0,NAMIK KEMAL,41.02397303,29.08416295,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00274087,28.86616878,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ŞİŞLİ,Policlinic Private,0.0,MECİDİYEKÖY,41.067225,28.997104,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
KADIKÖY,Private Hospital,51.0,KOZYATAĞI,40.9658851,29.10027554,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KADIKÖY,Private Hospital,0.0,MERDİVENKÖY,40.9903356,29.07753062,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00167664,28.87051933,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ESENLER,Clinic,,HAVAALANI,41.0545007,28.87397099,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAĞCILAR,Policlinic Private,2.0,ÇINAR,41.0403137,28.85949865,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAHÇELİEVLER,Clinic,,ÇOBANÇEŞME,41.00103673,28.83012325,Public Health Care,Low Capacity,6.395012468827931,19.78503740648379,13.39002493765586
BAYRAMPAŞA,Private Hospital,114.0,TERAZİDERE,41.03298289,28.90103448,Private Health Care,Medium Capacity,59.51555555555555,1.5,-58.01555555555555
ŞİŞLİ,Policlinic Private,0.0,ESENTEPE,41.06731479,29.00360006,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ESENYURT,Public Hospital,,SULTANİYE,41.03244277,28.68299918,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
KAĞITHANE,Clinic,,ÇELİKTEPE,41.082878,29.002642,Public Health Care,Low Capacity,6.395012468827931,73.39002493765584,66.99501246882791
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.000853,28.870749,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KAĞITHANE,Clinic,,ORTABAYIR,41.07882092,29.00368522,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAKIRKÖY,Clinic,,KARTALTEPE,40.9852947,28.87261285,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAĞCILAR,Clinic,,İNÖNÜ,41.03315992,28.85243587,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
GAZİOSMANPAŞA,Private Hospital,485.0,MERKEZ,41.0592141,28.90745841,Private Health Care,Medium Capacity,59.51555555555555,1.35,-58.16555555555555
BEŞİKTAŞ,Policlinic Private,0.0,ETİLER,41.07813324,29.03241462,Private Health Care,Low Capacity,40.27368421052631,32.92230607691297,-7.351378133613345
KADIKÖY,Policlinic,0.0,EĞİTİM,40.98789689,29.04831999,Public Health Care,Low Capacity,6.395012468827931,5.1,-1.295012468827931
KADIKÖY,Policlinic,0.0,OSMANAĞA,40.99313324,29.02899991,Public Health Care,Low Capacity,6.395012468827931,0.3,-6.095012468827931
BAHÇELİEVLER,Research Hospital,35.0,YENİBOSNA MERKEZ,41.0124298,28.82324545,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
BAĞCILAR,Clinic,,KİRAZLI,41.03085338,28.83773287,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99537641,28.84856243,Public Health Care,Low Capacity,6.395012468827931,21.500000000000004,15.104987531172073
BAĞCILAR,Clinic,,GÜNEŞLİ,41.03253347,28.82731766,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KAĞITHANE,Clinic,,GÜLTEPE,41.07930541,28.99488766,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KAĞITHANE,Private Hospital,25.0,MERKEZ,41.08271264,28.97095344,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.0015147,28.86229835,Public Health Care,Low Capacity,6.395012468827931,14.195012468827928,7.799999999999997
PENDİK,Research Hospital,647.0,FEVZİ ÇAKMAK,40.88604777,29.26269961,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
BAHÇELİEVLER,Public Hospital,198.0,KOCASİNAN MERKEZ,41.00604881,28.84455675,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
KÜÇÜKÇEKMECE,Research Hospital,260.0,İSTASYON,41.03377447,28.7776405,Research Care,High Capacity,146.86486486486487,210.3,63.43513513513514
BAHÇELİEVLER,Emergency Station,3.0,YENİBOSNA MERKEZ,41.02027544,28.82008689,Emergency Care,Emergency Location,,0.0,
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.001168,28.870933,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,FEVZİ ÇAKMAK,40.999355,28.834271,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEYOĞLU,Policlinic Private,0.0,PİYALEPAŞA,41.0524503,28.9602636,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ZEYTİNBURNU,Private Hospital,78.0,ÇIRPICI,40.99845397,28.89427897,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ŞİŞLİ,Policlinic Private,0.0,MERKEZ,41.0634385,28.98753362,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00264169,28.86507109,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ŞİŞLİ,Clinic,,MERKEZ,41.0566699,28.98568966,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KÜÇÜKÇEKMECE,Clinic,,SULTAN MURAT,41.00221309,28.78773161,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ŞİŞLİ,Clinic,,İNÖNÜ,41.04560733,28.98578177,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEŞİKTAŞ,Policlinic Private,0.0,NİSBETİYE,41.07522639,29.01835134,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BEŞİKTAŞ,Policlinic Private,0.0,LEVENT,41.07632749,29.02023573,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAKIRKÖY,Private Hospital,102.0,ZEYTİNLİK,40.97764447,28.87272932,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,SİYAVUŞPAŞA,41.00185781,28.86008587,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
MALTEPE,Clinic,,GÜLSUYU,40.92789916,29.15845905,Public Health Care,Low Capacity,6.395012468827931,224.2902743142144,217.89526184538647
ARNAVUTKÖY,Policlinic,0.0,HADIMKÖY,41.15631985,28.62486494,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
SULTANGAZİ,Private Hospital,29.0,YUNUS EMRE,41.10103116,28.89866197,Private Health Care,Medium Capacity,59.51555555555555,105.0,45.48444444444445
MALTEPE,Policlinic,0.0,FEYZULLAH,40.93498619,29.12284919,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
GAZİOSMANPAŞA,Clinic,,BARBAROS HAYRETTİN PAŞA,41.07488862,28.88838664,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,SOĞANLI,41.00746014,28.84932216,Public Health Care,Low Capacity,6.395012468827931,6.395012468827931,0.0
BAKIRKÖY,Policlinic Private,3.0,OSMANİYE,40.99242666,28.8812155,Private Health Care,Low Capacity,40.27368421052631,42.05,1.776315789473685
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00060914,28.87493841,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEŞİKTAŞ,Policlinic Private,0.0,LEVENT,41.07801669,29.01696323,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BEŞİKTAŞ,Policlinic Private,0.0,KÜLTÜR,41.07634043,29.02855416,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BEŞİKTAŞ,Policlinic Private,0.0,GAYRETTEPE,41.06603568,29.00730094,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
KADIKÖY,Private Hospital,293.0,MERDİVENKÖY,40.99015706,29.07765294,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00139173,28.86209384,Public Health Care,Low Capacity,6.395012468827931,22.17368421052632,15.77867174169839
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.002715,28.871134,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ŞİŞLİ,Policlinic Private,0.0,İNÖNÜ,41.04177866,28.986414,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
TUZLA,Red Crescent,,EVLİYA ÇELEBİ,40.84486954,29.29981188,Public Health Care,,0.0,0.0,0.0
BAHÇELİEVLER,Clinic,,SİYAVUŞPAŞA,41.00245,28.859732,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ŞİŞLİ,Policlinic,0.0,TEŞVİKİYE,41.05218718,28.99571027,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEYOĞLU,Policlinic,,ASMALI MESCİT,41.0313679,28.97472807,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.001096,28.870806,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
GÜNGÖREN,Clinic,,HAZNEDAR,41.0130699,28.8688069,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAKIRKÖY,Policlinic,,ZUHURATBABA,40.99295389,28.86442588,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAKIRKÖY,Research Hospital,604.0,ZUHURATBABA,40.99382809,28.86501117,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
BAKIRKÖY,Policlinic,0.0,OSMANİYE,40.99193101,28.88174173,Public Health Care,Low Capacity,6.395012468827931,57.55511221945148,51.16009975062355
ŞİŞLİ,Private Hospital,,19 MAYIS,41.06063034,28.98901831,Private Health Care,Medium Capacity,59.51555555555555,12.500000000000002,-47.01555555555555
KAĞITHANE,Clinic,,SULTAN SELİM,41.09047459,29.0026836,Public Health Care,Low Capacity,6.395012468827931,42.1350374064838,35.74002493765587
BAKIRKÖY,Policlinic Private,0.0,ŞENLİKKÖY,40.98111138,28.79479,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
FATİH,Private Hospital,56.0,ŞEHREMİNİ,41.0133865,28.9340421,Private Health Care,Medium Capacity,59.51555555555555,205.0,145.48444444444445
FATİH,Policlinic,0.0,HIRKA-İ ŞERİF,41.01983501,28.93749402,Public Health Care,Low Capacity,6.395012468827931,26.98004987531172,20.585037406483792
ŞİŞLİ,Private Hospital,169.0,KAPTANPAŞA,41.06140585,28.97310577,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
SULTANGAZİ,Private Hospital,92.0,İSMETPAŞA,41.10615882,28.86043443,Private Health Care,Medium Capacity,59.51555555555555,26.250000000000004,-33.26555555555555
SANCAKTEPE,Emergency Station,3.0,ABDURRAHMANGAZİ,40.98728564,29.22678288,Emergency Care,Emergency Location,,0.0,
ÜMRANİYE,Emergency Station,3.0,SİTE,41.00745981,29.1079063,Emergency Care,Emergency Location,,0.0,
BAHÇELİEVLER,Clinic,,ZAFER,40.99883227,28.83462232,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAĞCILAR,Policlinic,,GÜNEŞLİ,41.03286353,28.83302429,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KADIKÖY,Policlinic Private,0.0,FENERYOLU,40.9802006,29.04363777,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
KAĞITHANE,Policlinic Private,0.0,SULTAN SELİM,41.09001182,29.00526124,Private Health Care,Low Capacity,40.27368421052631,177.8736842105263,137.6
FATİH,Policlinic,17.0,TOPKAPI,41.01683358,28.93528306,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
GAZİOSMANPAŞA,Private Hospital,75.0,YENİ MAHALLE,41.07386419,28.90383443,Private Health Care,Medium Capacity,59.51555555555555,26.4,-33.11555555555555
BEŞİKTAŞ,Private Hospital,12.0,LEVENT,41.08608619,29.01783632,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BEŞİKTAŞ,Clinic,,LEVENT,41.08480114,29.01288133,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEŞİKTAŞ,Policlinic Private,0.0,KÜLTÜR,41.07255151,29.02897958,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAŞAKŞEHİR,Policlinic Private,,BAHÇEŞEHİR 2. KISIM,41.06858615,28.67899532,Private Health Care,Low Capacity,40.27368421052631,105.72682533432496,65.45314112379864
GAZİOSMANPAŞA,Research Hospital,184.0,KARAYOLLARI,41.08657206,28.89821357,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00416818,28.86662409,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
GAZİOSMANPAŞA,Private Hospital,38.0,ŞEMSİPAŞA,41.06953667,28.90735499,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ŞİŞLİ,Clinic,,19 MAYIS,41.05760959,28.99423619,Public Health Care,Low Capacity,6.395012468827931,28.38609864228317,21.991086173455237
BAĞCILAR,Clinic,,YENİGÜN,41.02404726,28.85748885,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
SULTANGAZİ,Emergency Station,3.0,75. YIL,41.09742256,28.90150527,Emergency Care,Emergency Location,,0.0,
FATİH,Policlinic,45.0,TOPKAPI,41.0149809,28.93527427,Public Health Care,Low Capacity,6.395012468827931,24.185037406483797,17.790024937655865
TUZLA,Private Hospital,71.0,AYDINTEPE,40.84791623,29.29436247,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ÜSKÜDAR,Policlinic,0.0,MURATREİS,41.02346854,29.02965549,Public Health Care,Low Capacity,6.395012468827931,33.00000000000001,26.60498753117208
ŞİŞLİ,Private Hospital,47.0,MERKEZ,41.0630971,28.98857643,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
GÜNGÖREN,Clinic,,ABDURRAHMAN NAFİZ GÜRMAN,41.00758664,28.88740283,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,40.99951118,28.86992153,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,CUMHURİYET,41.01586679,28.86124525,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,HÜRRİYET,41.00061441,28.83888435,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00273556,28.86528868,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAYRAMPAŞA,Policlinic,0.0,YENİDOĞAN,41.04769164,28.91354953,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
SULTANGAZİ,Red Crescent,,İSMETPAŞA,41.10981033,28.85825733,Public Health Care,,0.0,0.0,0.0
BAHÇELİEVLER,Private Hospital,31.0,KOCASİNAN MERKEZ,41.02161161,28.83931907,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99438772,28.84531729,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
MALTEPE,Clinic,,ESENKENT,40.92146484,29.16619392,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
MALTEPE,Private Hospital,50.0,BAĞLARBAŞI,40.92088129,29.13754965,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Private Hospital,104.0,BAHÇELİEVLER,40.99762146,28.86723015,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KAĞITHANE,Clinic,,HARMANTEPE,41.08144059,28.99250952,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAKIRKÖY,Policlinic,,ZUHURATBABA,40.9924011,28.86384309,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
MALTEPE,Emergency Station,3.0,AYDINEVLER,40.94906353,29.12851548,Emergency Care,Emergency Location,,0.0,
MALTEPE,Public Hospital,50.0,ALTAYÇEŞME,40.93698366,29.13504292,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
SULTANBEYLİ,Public Hospital,100.0,MEHMET AKİF,40.96525005,29.26599327,Public Health Care,High Capacity,477.0976744186046,33.85,-443.24767441860456
KADIKÖY,Policlinic,0.0,CADDEBOSTAN,40.97216172,29.05793059,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAYRAMPAŞA,Private Hospital,16.0,KARTALTEPE,41.05808297,28.90357453,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Private Hospital,25.0,ZAFER,40.99764325,28.83481914,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
GÜNGÖREN,Policlinic,0.0,GENÇOSMAN,41.0309125,28.87479887,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAĞCILAR,Clinic,,YAVUZ SELİM,41.04330524,28.8502929,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
GÜNGÖREN,Policlinic,0.0,GENÇOSMAN,41.03171499,28.87690228,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
GÜNGÖREN,Emergency Station,3.0,MEHMET NESİH ÖZMEN,41.019197,28.892882,Emergency Care,Emergency Location,,0.0,
BAYRAMPAŞA,Private Hospital,77.0,YILDIRIM,41.06302656,28.89115271,Private Health Care,Medium Capacity,59.51555555555555,0.4,-59.11555555555555
KADIKÖY,Emergency Station,3.0,KOŞUYOLU,41.00667258,29.034854,Emergency Care,Emergency Location,,0.0,
KADIKÖY,Policlinic Private,0.0,RASİMPAŞA,40.99381758,29.02505147,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ŞİŞLİ,Clinic,,HALİDE EDİP ADIVAR,41.06186834,28.97583909,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ŞİŞLİ,Policlinic Private,0.0,HARBİYE,41.05146837,28.99157233,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ÜSKÜDAR,Private Hospital,51.0,GÜZELTEPE,41.05225685,29.07600699,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ŞİŞLİ,Clinic,,HALASKARGAZİ,41.05049596,28.98958349,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
GÜNGÖREN,Clinic,,HAZNEDAR,41.0127617,28.86487428,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAYRAMPAŞA,Public Hospital,100.0,İSMET PAŞA,41.04174665,28.90269906,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
KADIKÖY,Research Hospital,250.0,19 MAYIS,40.97549388,29.0888788,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
GÜNGÖREN,Clinic,,GÜVEN,41.01378553,28.87179371,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
SULTANBEYLİ,Private Hospital,83.0,ABDURRAHMANGAZİ,40.96973367,29.25805714,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
MALTEPE,Public Hospital,52.0,BAŞIBÜYÜK,40.94907369,29.13943024,Public Health Care,High Capacity,477.0976744186046,43.4,-433.6976744186046
BAHÇELİEVLER,Red Crescent,,ŞİRİNEVLER,40.99966344,28.84663734,Public Health Care,,0.0,0.0,0.0
ÜSKÜDAR,Policlinic,0.0,ALTUNİZADE,41.02231198,29.04345784,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAĞCILAR,Private Hospital,59.0,SANCAKTEPE,41.03673094,28.85788259,Private Health Care,Medium Capacity,59.51555555555555,19.46056802438348,-40.054987531172074
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99398991,28.84343203,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEŞİKTAŞ,Policlinic Private,0.0,AKAT,41.08937355,29.0209837,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
GAZİOSMANPAŞA,Private Hospital,121.0,MERKEZ,41.059746,28.912531,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAĞCILAR,Research Hospital,498.0,MERKEZ,41.03018268,28.87126367,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
KADIKÖY,Private Hospital,0.0,MERDİVENKÖY,40.98207905,29.06869517,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ADALAR,Research Hospital,5.0,NİZAM,40.87002196,29.12809868,Research Care,High Capacity,146.86486486486487,110.6,-36.264864864864876
SANCAKTEPE,Private Hospital,32.0,MECLİS,41.00896612,29.21217751,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ADALAR,Emergency Station,3.0,KINALIADA,40.9084982,29.05436851,Emergency Care,Emergency Location,,0.0,
SANCAKTEPE,Policlinic,0.0,EYÜP SULTAN,40.98195316,29.22210412,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KAĞITHANE,Clinic,,ORTABAYIR,41.07883229,29.00325917,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99497582,28.84671103,Public Health Care,Low Capacity,6.395012468827931,6.395012468827931,0.0
KADIKÖY,Policlinic Private,0.0,CADDEBOSTAN,40.96920504,29.05368171,Private Health Care,Low Capacity,40.27368421052631,1.2,-39.07368421052631
ŞİŞLİ,Private Hospital,32.0,MERKEZ,41.06663934,28.98202802,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KAĞITHANE,Clinic,,ORTABAYIR,41.07857223,29.00240388,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KAĞITHANE,Clinic,,SULTAN SELİM,41.090502,29.004966,Public Health Care,Low Capacity,6.395012468827931,45.887106394221085,39.492093925393156
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00030369,28.87024038,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KADIKÖY,Clinic,,KOŞUYOLU,41.00939479,29.0411046,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99418325,28.84427525,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ÜMRANİYE,Private Hospital,124.0,SARAY,41.02177818,29.1199368,Private Health Care,Medium Capacity,59.51555555555555,0.8,-58.715555555555554
BAKIRKÖY,Private Hospital,15.0,KARTALTEPE,40.98377145,28.87270376,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ÜMRANİYE,Red Crescent,,ESENŞEHİR,41.00269573,29.16223141,Public Health Care,,0.0,0.0,0.0
